Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,FIGI,SecurityType
LLY,Eli Lilly,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/1970,59478,1876,BBG000BNBDC2,Common Stock
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",30/06/1976,59558,1905,BBG000BNC3Y9,Common Stock
LIN,Linde,reports,Materials,Industrial Gases,"Guildford, England",01/07/1992,1707925,1879,BBG01FND0CC1,Common Stock
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/2019,1335258,2010,BBG000FQ7YR4,Common Stock
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",23/05/2016,1065696,1998,BBG000PXDL44,Common Stock
LMT,Lockheed Martin,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",31/07/1984,936468,1995,BBG000C1BW00,Common Stock
L,Loews Corporation,reports,Financials,Multi-line Insurance,"New York City, New York",,60086,1959,BBG000C45984,Common Stock
LOW,Lowe's,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29/02/1984,60667,1904/1946/1959,BBG000BNDN65,Common Stock
LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/03/1999,18926,1983 (1877),BBG000BGLRN3,Common Stock
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",05/09/2012,1489393,2007,BBG000WCFV84,Common Stock
MTB,M&T Bank,reports,Financials,Regional Banks,"Buffalo, New York",23/02/2004,36270,1856,BBG000D9KWL9,Common Stock
MRO,Marathon Oil,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",01/05/1991,101778,1887,BBG000C8H633,Common Stock
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",01/07/2011,1510295,2009 (1887),BBG001DCCGR8,Common Stock
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York City, New York",01/07/2019,1278021,2000,BBG000BJBZ23,Common Stock
MAR,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,BBG000BGD7W6,Common Stock
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York City, New York",31/08/1987,62709,1905,,
MLM,Martin Marietta,reports,Materials,Construction Materials,"Raleigh, North Carolina",02/07/2014,916076,1993,BBG000BGYMH7,Common Stock
MAS,Masco,reports,Industrials,Building Products,"Livonia, Michigan",30/06/1981,62996,1929,BBG000BNNKG9,Common Stock
MA,Mastercard,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",18/07/2008,1141391,1966,BBG000F1ZSQ2,Common Stock
MTCH,Match Group,reports,Communication Services,Interactive Media & Services,"Dallas, Texas",20/09/2021,891103,1986,BBG00VT0KNC3,Common Stock
MKC,McCormick & Company,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",20/03/2003,63754,1889,BBG000G6Y5W4,Common Stock
MCD,McDonald's,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",30/06/1970,63908,1940,BBG000BNSZP1,Common Stock
MCK,McKesson Corporation,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833,BBG000DYGNW7,Common Stock
MDT,Medtronic,reports,Health Care,Health Care Equipment,"Dublin, Ireland",31/10/1986,1613103,1949,BBG000BNWG87,Common Stock
MRK,Merck,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",04/03/1957,310158,1891,BBG000BPD168,Common Stock
FB,Meta,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/2013,1326801,2004,BBG000MM2P62,Common Stock
